Gene_name,Com_Genes_No
SGSH,2962
ENSG00000226490,2963
TIMD4,2962
ZNF572,2963
MACF1,2964
CCDC57,2965
PSMD5,2963
NEK4,2963
TENT2,2965
MRPL11,2964
ENSG00000282034,2963
LINGO2,2964
C2CD4B,2963
ZNF324,2963
BTNL8,2965
PNMA1,2965
REM1,2964
NUP205,2963
SLIT1,2963
CHD3,2965
SNRNP40,2963
SHISAL2A,2964
OR13C4,2963
NFKBIE,2963
INTS12,2964
ATP5F1C,2964
DPH5,2963
USP17L1,2963
ZMYM1,2964
HSD17B14,2965
ASH1L,2963
TADA3,2963
USP12,2964
RASL12,2962
GRHPR,2963
NEK9,2963
TTC7A,2964
FAM185A,2964
ENSG00000273734,2963
EXOSC2,2964
CTSA,2964
SOX4,2963
HRNR,2964
ZFYVE27,2966
RPS6KA5,2964
AKAP5,2962
COL3A1,2963
ZNF727,2963
SLC7A3,2964
UBE2QL1,2963
ENSG00000284976,2964
SLC38A7,2964
ZNF649,2962
NDUFA4,2964
RBL1,2966
KIF1C,2965
TNNC1,2962
GHITM,2963
NDOR1,2965
GTSF1,2965
PTS,2963
ENSG00000267706,2964
C1QTNF12,2963
ENSG00000274322,2964
EFNB1,2964
BUB3,2963
MUC2,2964
GPR27,2962
NR6A1,2965
RAB33A,2965
ENSG00000283952,2964
VCX,2964
ANK1,2963
ENSG00000283782,2963
LYPLA2,2964
PCIF1,2962
IFT57,2964
FUCA1,2963
BEST4,2965
VAV3,2965
TMEM150B,2964
CIAO1,2964
ENSG00000258466,2964
SYN1,2964
KY,2963
ZNF711,2964
SSX5,2963
MC1R,2963
CCDC150,2963
STAT1,2964
SDAD1,2966
INSR,2963
ENSG00000286239,2963
GPR119,2963
POLG2,2962
SPOCK2,2965
LZTS3,2960
PLAAT1,2964
RAD51B,2964
RPL38,2963
FABP9,2963
CTAGE4,2963
ZNF512,2964
PABIR3,2963
SIN3A,2964
ADGRL4,2964
FBXO8,2964
DOK1,2964
BTBD11,2964
ZNF263,2963
CCDC171,2963
ENSG00000141979,2964
GABRA1,2965
AZIN1,2964
MDFIC,2964
B3GNT5,2963
KLF15,2964
ENSG00000196826,2963
RPP40,2964
CYP3A7,2963
RAD52,2964
ENSG00000287542,2963
CHST4,2963
ZFAND6,2962
MRAS,2964
PXN,2963
ENSG00000261884,2963
OR2AE1,2966
SYT15,2963
BTBD6,2964
MCM2,2964
ENSG00000261582,2963
MAFA,2963
TGFB2,2964
ASXL2,2966
SLC25A3,2964
TRBV6-5,2963
KCNG3,2962
TMBIM6,2963
CYTH3,2963
LTBP1,2963
LEAP2,2963
MROH5,2962
TRDV3,2964
PDE12,2963
CPPED1,2965
RIN2,2964
NDUFB2,2963
ENSG00000275464,2963
PDE5A,2965
KIAA1958,2964
DTL,2963
CST9,2962
MMP1,2962
RAB21,2963
BLOC1S2,2963
ENSG00000255439,2963
ENSG00000266953,2963
ENSG00000283189,2963
CBLIF,2963
ABCC6,2962
TRMT61A,2964
TRPV6,2963
C8orf88,2965
GGCX,2964
MAP6,2966
SPANXA2,2964
MEGF8,2963
CFAP300,2964
ATMIN,2963
AXIN1,2963
SF1,2963
COL15A1,2963
SIK2,2964
TAF6L,2963
STEAP4,2963
PGAM4,2964
MYO5A,2964
GLRA1,2964
F12,2963
HLCS,2962
ITFG1,2963
CNOT8,2962
OGA,2962
MSH5,2964
BAK1,2964
FICD,2964
ENSG00000285762,2963
SNRPB2,2963
TLE5,2964
TESK1,2964
FNBP1L,2962
UBR2,2963
C1orf68,2964
ENSG00000254692,2963
CD164,2964
EMC7,2963
ZKSCAN3,2963
UBN2,2963
PBX2,2966
ZNF717,2963
ZBTB12,2964
ZBBX,2963
GLCE,2964
WWC2,2965
SNRNP48,2964
MDH2,2965
PELO,2963
FAM86B2,2963
MAP3K10,2964
AZGP1,2964
COX6B2,2962
RFT1,2965
GALR3,2963
SCUBE1,2964
ENSG00000249624,2963
ENDOU,2961
CFHR3,2965
IGLV3-19,2963
ENSG00000284976,2963
PRMT1,2963
TRIM61,2964
MALT1,2963
CD300A,2963
GEM,2963
PYHIN1,2963
DEFB135,2963
PRXL2A,2964
APOB,2964
TAS2R7,2962
POLRMT,2964
NHLRC3,2963
ATG5,2963
PRAME,2964
OR5M11,2963
C2orf50,2963
TRAJ30,2964
DYNLRB1,2964
PAOX,2964
TRMT12,2968
C15orf61,2965
MRNIP,2963
TBATA,2963
BOLL,2963
RAB26,2963
TTC30B,2962
SOX1,2965
DARS1,2963
PHF23,2965
TREM1,2963
RPL22,2964
DDX28,2965
CCT7,2962
NMI,2963
SH3YL1,2965
ENSG00000275740,2964
PDZRN4,2965
COX14,2963
KRT10,2962
DMRT3,2963
MEIS3,2964
EVI2B,2962
ENSG00000284461,2963
UCK1,2965
ENSG00000272305,2963
COL23A1,2965
