Gene_name,Com_Genes_No
DEFB105A,2959
LIN7A,2960
PROM2,2959
ENSG00000261147,2961
LYRM9,2961
CSPP1,2960
MAGED4B,2961
ARMCX5,2961
BST1,2960
NANOS1,2960
TPTEP2-CSNK1E,2960
TLNRD1,2962
SLC9B2,2961
SEC24C,2961
SLC38A3,2960
RRP15,2961
SAFB,2959
OR2M2,2962
SLC4A1AP,2961
RSPH1,2960
RBKS,2960
NUDCD3,2960
NCR2,2960
EXOSC7,2960
NHLRC1,2959
VTA1,2958
MAGT1,2959
NTAN1,2959
ST3GAL5,2961
PPT2-EGFL8,2960
U2SURP,2959
HUS1B,2961
VIRMA,2960
ENSG00000275163,2960
CASP12,2959
TP53AIP1,2960
CD27,2959
KRT14,2961
UBE2Q2,2961
IMPA2,2962
C11orf95,2958
KIAA1671,2960
NKIRAS2,2961
PSMD1,2960
IGLV11-55,2962
TOMM20,2961
CYP4A11,2958
RHOBTB3,2961
TOR1A,2960
MLST8,2961
RPL26L1,2960
PDLIM5,2959
MYZAP,2959
FBXO30,2962
CALN1,2960
ACY3,2959
TMEM143,2960
FUT11,2960
CEBPE,2960
TOR3A,2960
SLC66A1,2961
DEFB107A,2960
ZNF142,2961
DRD4,2960
SUN2,2962
XPA,2961
ENSG00000273155,2960
AMPH,2959
ZNF329,2961
PGM1,2963
ACTN1,2960
POLR2L,2961
ACP4,2962
HNRNPH3,2962
FGB,2961
FHL2,2962
CTRB1,2960
HTRA2,2960
GFUS,2959
AQP7,2961
NECTIN2,2962
KBTBD7,2960
MAGEC2,2959
H2AL1RP,2961
CDCA7L,2959
NR2C1,2962
DEFB107B,2959
GLI1,2961
PPIL3,2960
PRB4,2961
RANBP3,2959
TNFRSF12A,2960
SMIM17,2957
PRR12,2961
SLC51A,2960
ASB7,2959
UBXN6,2961
ZFPM1,2962
KAAG1,2960
ARHGEF2,2959
RPL17,2963
RNF220,2961
TMEM38B,2960
DPH1,2960
XRCC1,2960
TEX2,2961
ZBTB39,2959
RSPO3,2959
NDST4,2961
TCL1B,2959
GLE1,2960
AQR,2960
S100A8,2961
PCNX1,2963
ARL9,2961
TRAIP,2961
SEC14L4,2962
LYZL1,2960
INHBE,2961
ARHGAP44,2960
SCGB1D1,2960
STOX2,2959
CDC73,2961
C3orf49,2960
RSBN1,2960
TRIM15,2960
TEX47,2960
VKORC1L1,2959
ENSG00000286190,2960
ALDH1A1,2960
HYAL4,2959
IGLV5-37,2961
ENSG00000142539,2959
ENSG00000283515,2959
DDX56,2960
CTAGE15,2961
SNRPE,2960
MTG1,2959
ANKRD42,2959
FAM24B,2960
JRKL,2961
IFNGR2,2961
FDXACB1,2961
THPO,2961
TAS1R1,2961
ANKS1B,2963
SART3,2961
ENSG00000284188,2959
ARAP3,2960
NUDT10,2961
LCN2,2960
MGAT3,2960
IGKV1-8,2961
ELK4,2960
SPAG11A,2961
RHBDL3,2961
KHDC1L,2961
LAMTOR5,2961
EDEM1,2960
ARPC1B,2962
PIGZ,2960
FAM76B,2961
LTK,2959
HAVCR2,2961
IL17D,2961
RNASEH1,2961
GCKR,2962
EPAS1,2960
GATA3,2959
CRYBB2,2961
KATNAL2,2958
GRXCR1,2960
EXOC3L2,2960
KBTBD11-OT1,2961
BPY2B,2960
CCNA1,2958
FAM72B,2959
MMP17,2960
MAP3K9,2961
C1R,2960
ENSG00000288564,2960
FCGR1B,2961
C16orf71,2960
VPS37B,2961
ZNF804B,2960
RETN,2961
TMEM200C,2959
CCDC74B,2961
NFILZ,2959
ENSG00000268193,2960
LEFTY1,2962
OPN5,2960
TP53BP1,2961
OR4C46,2960
PPM1E,2960
MTFR1,2961
C1QTNF1,2960
RLIM,2961
TIMM13,2961
ZNF16,2961
CINP,2958
ACSM2B,2960
SLC17A7,2962
THEG,2959
NLRC4,2962
EGFL8,2961
TRDJ4,2960
STAB2,2960
DGCR6L,2961
SGO2,2959
KLF13,2960
RERGL,2959
PC,2958
ZNF239,2960
LRRC45,2960
RFX1,2960
BMT2,2961
GPR107,2960
METTL2B,2961
BCAT2,2961
ZNF600,2960
RHBDF1,2961
DENND6A,2961
ZCRB1,2959
ATF4,2960
IQCF1,2960
CHMP3,2960
SLC8B1,2961
BCLAF3,2962
SLC10A4,2961
GRM6,2960
CEPT1,2959
TMEM80,2960
ZNF670,2962
CES4A,2962
WDR7,2960
PHC1,2960
POLI,2960
SCO2,2959
MSI2,2960
NAA80,2960
SSTR3,2959
BAP1,2960
MRO,2959
TIGD3,2960
OR10AC1,2959
DOCK3,2960
DPPA2,2959
TKTL1,2960
CFAP299,2960
TRAV39,2963
TUBGCP6,2960
NOTCH4,2959
OR6C3,2960
ENSG00000255508,2960
TMEM134,2960
SPATA13,2960
CMTM3,2960
MEPCE,2960
NTS,2961
CHKB-CPT1B,2960
NT5M,2958
LTB4R2,2962
HECW2,2962
GH1,2960
ATXN3L,2961
GEMIN4,2960
ITGB3BP,2960
SFTA3,2960
CKAP5,2960
ADORA2A,2959
MDFI,2961
CISD2,2960
VEGFC,2960
SREBF2,2958
SHH,2960
CSNK1A1,2960
TMEM88,2961
ABHD13,2961
H1-4,2959
TRPM4,2960
