Gene_name,Com_Genes_No
ACOT11,2967
GUCA2A,2968
ADIPOQ,2968
MMRN1,2968
GLI4,2969
C20orf203,2968
CAPG,2968
GPT2,2967
GNPAT,2968
TMEM106B,2967
MADCAM1,2968
UNC80,2968
CAGE1,2968
FOXRED2,2968
PPP2R3C,2968
TNIK,2968
SLC6A5,2968
PCDHGA8,2967
SCYGR10,2968
EPHA4,2967
SLC25A2,2969
ATG9B,2968
CACNG5,2968
OR2A4,2968
FUBP1,2968
RSPH6A,2968
SRRM4,2967
OR56A1,2968
CFAP298,2968
HARS1,2968
FMR1,2968
C9orf16,2968
ELMOD2,2969
LEKR1,2968
CD200,2968
GLA,2967
DYNC2I2,2968
FXYD5,2968
SH2B3,2968
TRBJ1-3,2968
KIRREL2,2969
POLR1H,2967
GATD3B,2968
SMARCAD1,2967
INTS2,2968
GATA2,2968
DHRS4,2967
MEGF10,2968
ZFP36L2,2968
FAM171B,2968
BUB3,2968
KLHL24,2968
CHST13,2969
BAZ2B,2968
CA12,2968
RGL3,2968
EIF2S2,2968
SASS6,2967
DUXA,2968
VTI1A,2968
PIP5K1C,2968
ENSG00000159239,2967
OXCT2,2967
SERHL2,2968
GSDMB,2968
ENSG00000187186,2966
RPH3AL,2968
ASB8,2968
EIF4H,2967
SULT6B1,2968
MICU3,2968
UTS2B,2967
PDCD4,2967
STAT1,2968
CFB,2968
TBKBP1,2967
GBA3,2967
ACADM,2968
ENOX1,2967
DCAF1,2968
PARP10,2968
PSD2,2968
MED28,2969
SDR42E1,2968
PNN,2968
NLGN2,2969
PTH1R,2967
ICAM2,2968
SMIM43,2968
ISL1,2967
PTPN5,2968
IL21R,2968
AQP9,2968
HES6,2969
CA5A,2968
TOMM40L,2967
ZNF474,2966
NRBP2,2968
ARHGAP24,2969
ENSG00000267022,2968
CCDC117,2967
STT3B,2968
PSTPIP1,2968
METTL25,2968
RIMS1,2968
GSTT2B,2967
REXO4,2968
PRPS2,2968
DIXDC1,2968
TRIP11,2968
CCR2,2968
IMMP1L,2968
YJU2,2968
CSNK1E,2968
ROCK1,2968
PURG,2968
HRH1,2968
LGALS9B,2968
FAM151B,2968
SYNRG,2968
MADD,2968
CNOT1,2968
SLC7A5,2968
SLURP1,2968
ANKRD30B,2968
C8orf37,2968
ENSG00000285082,2968
ADH4,2969
SPRYD7,2968
ENSG00000284024,2968
WDR3,2968
ENSG00000230626,2968
DCPS,2968
PSTPIP2,2968
ZSCAN23,2967
VN1R4,2968
ELSPBP1,2968
GPR68,2967
ENSG00000273398,2968
TBC1D17,2968
IGKV2D-30,2968
AK9,2968
KRTAP21-2,2968
TRAV25,2968
FCMR,2968
SUPT5H,2969
SPATS2L,2968
NIN,2968
SMIM31,2968
CLPS,2968
ANKRD54,2968
MRPL48,2968
LONP2,2969
FCHSD2,2967
ZNF77,2968
ENSG00000257524,2967
HTR1E,2970
MXD4,2968
DHRS11,2968
CDC6,2968
PLEKHA1,2969
SNX12,2967
TBX6,2968
TRNAU1AP,2968
CTXN2,2968
RS1,2967
TFCP2,2968
SLC3A2,2968
PDE10A,2968
FURIN,2968
PKD2L2,2968
PDZD8,2968
LGALS7,2968
IGKV6D-41,2968
CCL23,2968
CLEC7A,2968
NRG3,2967
MUC16,2968
RFX6,2967
TNFRSF19,2968
PPHLN1,2968
E2F3,2968
TEX49,2968
PENK,2969
UGT1A3,2968
ENSG00000248235,2968
TRAV23DV6,2968
PHF12,2968
GPS2,2968
ERICH6,2968
RGPD4,2969
ATP2A1,2967
RESF1,2968
KLHL26,2968
HDGFL3,2969
TULP2,2968
SPARC,2968
KCTD6,2968
OR51E2,2968
CNEP1R1,2968
OR4K15,2967
PARP2,2968
LGALS9,2968
KLHL15,2967
MAGIX,2967
ERO1A,2968
CMIP,2968
GCLC,2967
TMEM60,2968
TCF21,2969
TIMM8B,2969
EIF4B,2968
PALM,2968
MRLN,2968
LACTB,2968
PIK3IP1,2967
FGF2,2967
SSBP1,2968
ADGRL3,2967
F10,2968
DLX1,2968
NFE2L2,2968
CD59,2968
BTBD3,2968
MAL2,2968
C9,2968
SLC30A9,2970
MAGEL2,2968
SPNS2,2967
TBX2,2968
ABHD12,2968
IGKV1-6,2968
MOBP,2969
NTRK2,2968
CCDC179,2967
PHPT1,2967
MCM6,2967
PRAMEF14,2968
STYX,2968
ENSG00000288646,2968
ARMCX3,2968
SLC22A4,2967
MALL,2968
GAGE12H,2968
NPM3,2969
CEBPD,2968
HIVEP2,2969
EID1,2968
TMEM229A,2968
TYR,2968
SPECC1,2968
PPEF1,2968
HSD17B6,2966
TMEM98,2969
BICDL2,2968
NXPH4,2969
OR7C1,2967
SAMD13,2968
NDUFV3,2967
RBBP5,2968
CSTB,2968
LUZP1,2968
TUBGCP3,2968
GAS2L3,2967
FMO4,2966
ALOX5AP,2968
COA8,2967
USP38,2968
TRIM49B,2968
